ORF,GENE,s coeff nominal,s coeff nacl,DIFF,Name,Function
YFL039C,ACT1,-0.229155465,-0.127297997,0.101857468,ACTin,"Actin, structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions"
YFL037W,TUB2,-0.132701685,-0.090013308,0.042688377,TUBulin,"Beta-tubulin; associates with alpha-tubulin (Tub1p and Tub3p) to form tubulin dimer, which polymerizes to form microtubules"
YLR196W,PWP1,-0.11107988,-0.042469863,0.068610017,Periodic tryptophan (W) Protein,Protein with WD-40 repeats involved in rRNA processing; associates with trans-acting ribosome biogenesis factors; similar to beta-transducin superfamily
YPL211W,NIP7,-0.108011064,-0.045866349,0.062144716,Nuclear ImPort,"Nucleolar protein required for 60S ribosome subunit biogenesis, constituent of 66S pre-ribosomal particles; physically interacts with Nop8p and the exosome subunit Rrp43p"
YER021W,RPN3,-0.106780515,-0.03219285,0.074587665,Regulatory Particle Non-ATPase,"Essential, non-ATPase regulatory subunit of the 26S proteasome lid, similar to the p58 subunit of the human 26S proteasome; temperature-sensitive alleles cause metaphase arrest, suggesting a role for the proteasome in cell cycle control"
YPR169W,JIP5,-0.102338098,-0.053809168,0.048528929,Jumonji domain Interacting Protein,"Essential protein required for biogenesis of the large ribosomal subunit; interacts with proteins involved in RNA processing, ribosome biogenesis, ubiquitination and demethylation; similar to WDR55, a human WD repeat protein"
YCL052C,PBN1,-0.091705764,-0.046765434,0.044940331,Protease B Non-derepressible,"Essential component of glycosylphosphatidylinositol-mannosyltransferase I, required for the autocatalytic post-translational processing of the protease B precursor Prb1p, localizes to ER in lumenal orientation; homolog of mammalian PIG-X"
YJR006W,POL31,-0.089487039,-0.039725678,0.049761361,POLymerase,Subunit of DNA polymerase delta (polymerase III); essential for cell viability; involved in DNA replication and DNA repair
YNL308C,KRI1,-0.087513697,-0.044820152,0.042693546,KRRI-Interacting protein,Essential nucleolar protein required for 40S ribosome biogenesis; associate with snR30; physically and functionally interacts with Krr1p
YKL049C,CSE4,-0.08582716,-0.057363353,0.028463807,Chromosome SEgregation,"Centromere protein that resembles histone H3, required for proper kinetochore function; homolog of human CENP-A; levels are regulated by E3 ubiquitin ligase Psh1p"
YGL112C,TAF6,-0.082057788,-0.016497836,0.065559952,TATA binding protein-Associated Factor,"Subunit (60 kDa) of TFIID and SAGA complexes, involved in transcription initiation of RNA polymerase II and in chromatin modification, similar to histone H4"
YKR038C,KAE1,-0.0724634,-0.02792428,0.04453912,Kinase-Associated Endopeptidase,"Highly conserved ATPase of HSP70/DnaK family; component of the EKC/KEOPS complex with Bud32p, Cgi121p, Pcc1p, and Gon7p; EKC/KEOPS complex is required for t6A tRNA modification and may have roles in telomere maintenance and transcription"
YML085C,TUB1,-0.069743682,-0.058919604,0.010824078,TUBulin,"Alpha-tubulin; associates with beta-tubulin (Tub2p) to form tubulin dimer, which polymerizes to form microtubules"
YLR008C,PAM18,-0.055413049,-0.065398953,0.009985904,Presequence translocase-Associated Motor,Constituent of the import motor (PAM complex) component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); essential J-protein cochaperone that stimulates Ssc1p ATPase activity to drive import; inhibited by Pam16p
YPL151C,PRP46,-0.054111354,-0.183517777,0.129406424,Pre-mRNA Processing,"Member of the NineTeen Complex (NTC) that contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2, U5, and U6 snRNAs"
YBR265W,TSC10,-0.051495975,-0.008877361,0.042618614,Temperature-sensitive Suppressors of Csg2 mutants,"3-ketosphinganine reductase, catalyzes the second step in phytosphingosine synthesis, essential for growth in the absence of exogenous dihydrosphingosine or phytosphingosine, member of short chain dehydrogenase/reductase protein family"
